Bookmaker,Date,Start Time (UTC),Home Team Unparse,Away Team Unparse,Home Odd,Draw Odd,Away Odd,scrapping_time,Date Unparse,Sport,Home Team Std,Away Team Std
Zebet,2024-12-28,2024-12-28T02:00:00Z,STL Blues,NAS Predators,2.45,3.9,2.3,2024-12-24 10:26:53,Le 28/12 à 02h00,,STL - St. Louis Blues,NSH - Nashville Predators
Zebet,2024-12-28,2024-12-28T03:30:00Z,UTA HockeyClub,CLR Avalanche,2.75,4.1,2.05,2024-12-24 10:26:53,Le 28/12 à 03h30,,UTA - Utah Hockey Club,COL - Colorado Avalanche
Zebet,2024-12-28,2024-12-28T04:30:00Z,SJ Sharks,VEG GKnights,3.6,4.25,1.7,2024-12-24 10:26:53,Le 28/12 à 04h30,,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Winamax,2024-12-27,2024-12-27T01:00:00Z,New Jersey Devils,Carolina Hurricanes,2.15,3.9,2.45,2024-12-25 11:02:10,samedi à 01:00,,NJD - New Jersey Devils,CAR - Carolina Hurricanes
Winamax,2024-12-27,2024-12-27T01:00:00Z,Columbus Blue Jackets,Boston Bruins,2.85,3.95,1.9,2024-12-25 11:02:10,samedi à 01:00,,CBJ - Columbus Blue Jackets,BOS - Boston Bruins
Winamax,2024-12-27,2024-12-27T01:00:00Z,Detroit Red Wings,Toronto Maple Leafs,2.8,3.95,1.92,2024-12-25 11:02:10,samedi à 01:00,,DET - Detroit Red Wings,TOR - Toronto Maple Leafs
Winamax,2024-12-27,2024-12-27T01:00:00Z,Buffalo Sabres,Chicago Blackhawks,1.82,4.0,3.05,2024-12-25 11:02:10,samedi à 01:00,,BUF - Buffalo Sabres,CHI - Chicago Black Hawks/Blackhawks
Winamax,2024-12-27,2024-12-27T02:00:00Z,Dallas Stars,Minnesota Wild,1.88,4.0,2.9,2024-12-25 11:02:10,samedi à 02:00,,DAL - Dallas Stars,MIN - Minnesota Wild
Winamax,2024-12-27,2024-12-27T02:00:00Z,St. Louis Blues,Nashville Predators,2.45,3.8,2.2,2024-12-25 11:02:10,samedi à 02:00,,STL - St. Louis Blues,NSH - Nashville Predators
Winamax,2024-12-27,2024-12-27T03:30:00Z,Utah Hockey Club,Colorado Avalanche,2.55,3.95,2.05,2024-12-25 11:02:10,samedi à 03:30,,UTA - Utah Hockey Club,COL - Colorado Avalanche
Winamax,2024-12-27,2024-12-27T04:30:00Z,San Jose Sharks,Vegas Golden Knights,3.6,4.2,1.64,2024-12-25 11:02:10,samedi à 04:30,,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Zebet,2024-12-28,2024-12-28T01:00:00Z,BUF Sabres,CHI Blackhawks,1.85,4.15,3.15,2024-12-25 11:02:10,Le 28/12 à 01h00,,BUF - Buffalo Sabres,CHI - Chicago Black Hawks/Blackhawks
Zebet,2024-12-28,2024-12-28T01:00:00Z,CLB BJackets,BOS Bruins,2.95,4.05,1.94,2024-12-25 11:02:10,Le 28/12 à 01h00,,CBJ - Columbus Blue Jackets,BOS - Boston Bruins
Zebet,2024-12-28,2024-12-28T01:00:00Z,DET Red Wings,TOR MapleLeafs,2.9,4.05,1.96,2024-12-25 11:02:10,Le 28/12 à 01h00,,DET - Detroit Red Wings,TOR - Toronto Maple Leafs
Zebet,2024-12-28,2024-12-28T01:00:00Z,NJ Devils,CAR Hurricanes,2.2,4.0,2.5,2024-12-25 11:02:10,Le 28/12 à 01h00,,NJD - New Jersey Devils,CAR - Carolina Hurricanes
Zebet,2024-12-28,2024-12-28T02:00:00Z,DAL Stars,MIN Wild,1.91,4.15,3.0,2024-12-25 11:02:10,Le 28/12 à 02h00,,DAL - Dallas Stars,MIN - Minnesota Wild
Zebet,2024-12-28,2024-12-28T02:00:00Z,STL Blues,NAS Predators,2.5,3.9,2.25,2024-12-25 11:02:10,Le 28/12 à 02h00,,STL - St. Louis Blues,NSH - Nashville Predators
Zebet,2024-12-28,2024-12-28T03:30:00Z,UTA HockeyClub,CLR Avalanche,2.65,4.05,2.1,2024-12-25 11:02:10,Le 28/12 à 03h30,,UTA - Utah Hockey Club,COL - Colorado Avalanche
Zebet,2024-12-28,2024-12-28T04:30:00Z,SJ Sharks,VEG GKnights,3.7,4.3,1.67,2024-12-25 11:02:10,Le 28/12 à 04h30,,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Winamax,2024-12-27,2024-12-27T01:00:00Z,New Jersey Devils,Carolina Hurricanes,2.15,3.9,2.45,2024-12-25 11:42:11,samedi à 01:00,,NJD - New Jersey Devils,CAR - Carolina Hurricanes
Winamax,2024-12-27,2024-12-27T01:00:00Z,Columbus Blue Jackets,Boston Bruins,2.85,3.95,1.9,2024-12-25 11:42:11,samedi à 01:00,,CBJ - Columbus Blue Jackets,BOS - Boston Bruins
Winamax,2024-12-27,2024-12-27T01:00:00Z,Detroit Red Wings,Toronto Maple Leafs,2.85,3.95,1.92,2024-12-25 11:42:11,samedi à 01:00,,DET - Detroit Red Wings,TOR - Toronto Maple Leafs
Winamax,2024-12-27,2024-12-27T01:00:00Z,Buffalo Sabres,Chicago Blackhawks,1.82,4.0,3.05,2024-12-25 11:42:11,samedi à 01:00,,BUF - Buffalo Sabres,CHI - Chicago Black Hawks/Blackhawks
Winamax,2024-12-27,2024-12-27T02:00:00Z,Dallas Stars,Minnesota Wild,1.88,4.0,2.9,2024-12-25 11:42:11,samedi à 02:00,,DAL - Dallas Stars,MIN - Minnesota Wild
Winamax,2024-12-27,2024-12-27T02:00:00Z,St. Louis Blues,Nashville Predators,2.45,3.8,2.2,2024-12-25 11:42:11,samedi à 02:00,,STL - St. Louis Blues,NSH - Nashville Predators
Winamax,2024-12-27,2024-12-27T03:30:00Z,Utah Hockey Club,Colorado Avalanche,2.55,3.95,2.05,2024-12-25 11:42:11,samedi à 03:30,,UTA - Utah Hockey Club,COL - Colorado Avalanche
Winamax,2024-12-27,2024-12-27T04:30:00Z,San Jose Sharks,Vegas Golden Knights,3.6,4.2,1.64,2024-12-25 11:42:11,samedi à 04:30,,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Zebet,2024-12-28,2024-12-28T01:00:00Z,BUF Sabres,CHI Blackhawks,1.85,4.15,3.15,2024-12-25 11:42:11,Le 28/12 à 01h00,,BUF - Buffalo Sabres,CHI - Chicago Black Hawks/Blackhawks
Zebet,2024-12-28,2024-12-28T01:00:00Z,CLB BJackets,BOS Bruins,2.95,4.05,1.94,2024-12-25 11:42:11,Le 28/12 à 01h00,,CBJ - Columbus Blue Jackets,BOS - Boston Bruins
Zebet,2024-12-28,2024-12-28T01:00:00Z,DET Red Wings,TOR MapleLeafs,2.9,4.05,1.96,2024-12-25 11:42:11,Le 28/12 à 01h00,,DET - Detroit Red Wings,TOR - Toronto Maple Leafs
Zebet,2024-12-28,2024-12-28T01:00:00Z,NJ Devils,CAR Hurricanes,2.2,4.0,2.5,2024-12-25 11:42:11,Le 28/12 à 01h00,,NJD - New Jersey Devils,CAR - Carolina Hurricanes
Zebet,2024-12-28,2024-12-28T02:00:00Z,DAL Stars,MIN Wild,1.91,4.15,3.0,2024-12-25 11:42:11,Le 28/12 à 02h00,,DAL - Dallas Stars,MIN - Minnesota Wild
Zebet,2024-12-28,2024-12-28T02:00:00Z,STL Blues,NAS Predators,2.5,3.9,2.25,2024-12-25 11:42:11,Le 28/12 à 02h00,,STL - St. Louis Blues,NSH - Nashville Predators
Zebet,2024-12-28,2024-12-28T03:30:00Z,UTA HockeyClub,CLR Avalanche,2.65,4.05,2.1,2024-12-25 11:42:11,Le 28/12 à 03h30,,UTA - Utah Hockey Club,COL - Colorado Avalanche
Zebet,2024-12-28,2024-12-28T04:30:00Z,SJ Sharks,VEG GKnights,3.7,4.3,1.67,2024-12-25 11:42:11,Le 28/12 à 04h30,,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Winamax,2025-01-07,2025-01-07T01:05:00Z,Buffalo Sabres,Washington Capitals,2.75,3.95,1.98,2025-01-06 11:22:44,Demain à 01:05,,BUF - Buffalo Sabres,WSH - Washington Capitals
Winamax,2025-01-07,2025-01-07T01:35:00Z,Montreal Canadiens,Vancouver Canucks,2.6,3.9,2.1,2025-01-06 11:22:44,Demain à 01:35,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
Winamax,2025-01-07,2025-01-07T03:05:00Z,Colorado Avalanche,Florida Panthers,2.15,3.9,2.5,2025-01-06 11:22:44,Demain à 03:05,,COL - Colorado Avalanche,FLA - Florida Panthers
Winamax,2025-01-07,2025-01-07T04:05:00Z,Seattle Kraken,New Jersey Devils,3.3,4.0,1.76,2025-01-06 11:22:44,Demain à 04:05,,SEA - Seattle Kraken,NJD - New Jersey Devils
Zebet,2025-01-07,2025-01-07T01:00:00Z,BUF Sabres,WAS Capitals,2.85,4.1,2.0,2025-01-06 11:22:44,Demain à 01h00,,BUF - Buffalo Sabres,WSH - Washington Capitals
Zebet,2025-01-07,2025-01-07T01:30:00Z,MON Canadiens,VAN Canucks,2.7,4.0,2.15,2025-01-06 11:22:44,Demain à 01h30,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
